id,name,address,lat,lng,Estado del lead,Etapa del ciclo de vida,Número de veces contactado,frecuencia_compra,cantidad_de_sucursales
18430310419,Santa Teresa - Churubusco,"Mártires Irlandeses 34, Parque San Andrés, Coyoacán, 04040 Ciudad de México, CDMX, México",19.3492027,-99.1468476,CADENA - No Contactar,Cliente,4.0,,4.0
18429228185,Santa Teresa - Oriente 229,"Ote. 229 379 b, Agrícola Oriental, Iztacalco, 08500 Ciudad de México, CDMX, México",19.3941339,-99.0814824,CADENA - No Contactar,Cliente,6.0,,
18429269789,Santa Teresa - Ramos Millán,"S 167 2139-Local A, Bramadero Ramos Millán, Iztacalco, 08010 Ciudad de México, CDMX, México",19.3917917,-99.0937787,CADENA - No Contactar,Cliente,4.0,,
18430330025,Santa Teresa - Sur 4,"Av. Sur 4, Agrícola Oriental, Iztacalco, 08500 Ciudad de México, CDMX, México",19.4033303,-99.0737756,CADENA - No Contactar,Cliente,4.0,,
18192206150,GADMAR - Distribuidor Medico - Nápoles - Dakota 410,"Dakota 410, Nápoles, Benito Juárez, 03840 Ciudad de México, CDMX, México",19.9663894,-101.1837412,En Gestión [Automático],Lead,1.0,,
18192314141,"Farmacia ""Ma.Conchit"" - Doctores - Dr. Jose Terres","Dr. Jose Terres, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, México",19.4168347,-99.1465818,Número Inválido,Lead,0.0,,
18192435632,"Farmacia Homeopática y Naturista ""Flora"" - Tacubaya - Calle José María Vigil 17","Calle José María Vigil 17, Tacubaya, Miguel Hidalgo, 11870 Ciudad de México, CDMX, México",19.4014169,-99.1868742,En Gestión [Automático],Lead,7.0,,
18193334551,Farmacia Mary - Granjas México - Goma 138,"Goma 138, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, México",19.401808,-99.1022357,En Gestión [Automático],Lead,5.0,,
18193342794,"Delapack, S.A. de C.V. - Escandón I Sección - Cda. Antonio Maceo 52","Cda. Antonio Maceo 52, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, México",19.4042148,-99.1836749,En Gestión [Automático],Lead,1.0,,
18192441504,Usana Vitaminas y Suplementos - Colonia del Valle Centro - Eje 2 Pte 1152-1070,"Eje 2 Pte 1152-1070, Col del Valle Centro, Benito Juárez, 03100 Ciudad de México, CDMX, México",19.3794241,-99.166058,En Gestión [Automático],Lead,10.0,,
18192314142,"Pharma Plus, S.A. De C.V. (Cuauhtemoc) - Doctores - Av. Cuauhtémoc 114","Av. Cuauhtémoc 114, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, México",19.4202348,-99.1538741,En Gestión [Automático],Lead,9.0,,
18192316837,Farmacia la 16 - Agrícola Oriental - Sur 16 número 7,"Sur 16 número 7, Agrícola Oriental, Iztacalco, 08500 Ciudad de México, CDMX, México",19.3961695,-99.0831984,En Gestión [Automático],Lead,2.0,,
18192427575,FARMACIA LEO - Apatlaco - Av Canal de Apatlaco & Francisco Villa Local A,"Av Canal de Apatlaco & Francisco Villa Local A, Apatlaco, Iztapalapa, 09430 Iztapalapa, CDMX, México",19.3813967,-99.1121924,En Gestión [Automático],Lead,4.0,,
18191866031,Farmacias Moderna - Ampliación el Triunfo - Sta. María la Purísima 233,"Sta. María la Purísima 233, Amp el Triunfo, Iztapalapa, 09438 Ciudad de México, CDMX, México",19.3794585,-99.1147051,En Gestión [Automático],Lead,1.0,,
18192427576,DERMABON - Centro - Enrico Martínez #33,"Enrico Martínez #33, Colonia Centro, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, México",19.427075,-99.151,En Gestión [Automático],Lead,6.0,,
18192464250,Farmacia Genericos y Similares - Federal - Hacienda y Crédito Público 6,"Hacienda y Crédito Público 6, Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, México",19.4192749,-99.087737,En Gestión [Automático],Lead,1.0,,
18192470312,Mx Pharma Salud - Narvarte Poniente - Pedro Romero de Terreros,"Pedro Romero de Terreros, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",19.3938837,-99.1564953,En Gestión [Automático],Lead,3.0,,
18192291497,Farmacia Elena - Bramadero Ramos Millán - Sur 163 2019,"Sur 163 2019, Bramadero Ramos Millán, Iztacalco, 08000 Ciudad de México, CDMX, México",19.3913678,-99.0944221,En Gestión [Automático],Lead,9.0,,
18192314143,Farmacia de Genéricos - Santiago Sur - Av. Santiago 114,"Av. Santiago 114, Santiago Norte, Santiago Sur, Iztacalco, 08240 Ciudad de México, CDMX, México",19.3905143,-99.1261004,En Gestión [Automático],Lead,5.0,,
18192316838,GNC Pabellon Cuauhtemoc (CDMX) - Roma Sur - C. Antonio M. Anza 20-Local 30,"C. Antonio M. Anza 20-Local 30, C. U. Benito Juárez, Roma Sur, Cuauhtémoc, 06700 Ciudad de México, CDMX, México",19.4112953,-99.1556476,,Lead,1.0,,
18192361552,FARMACIA VILLA SEÑOR - VILLA SEÑOR,"Rio Elba 32, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",19.4253986,-99.1749388,Negocio Lost [Automático],Oportunidad,31.0,Diaria,1.0
18192386127,Farmacia Homeopática -  - Canal de Tezontle #17,"Canal de Tezontle #17, Barrio La Asunción, Iztacalco, 08610 Ciudad de México, CDMX, México",19.3892467,-99.120442,En Gestión [Automático],Lead,26.0,Diaria,1.0
18192467595,"Nikko SA DE CV, Material de curación, Articulos de Farmacia - Paulino Navarro - Juan A. Mateos 297","Juan A. Mateos 297, Paulino Navarro, Cuauhtémoc, 06870 Ciudad de México, CDMX, México",19.4099957,-99.1290885,En Gestión [Automático],Lead,5.0,,
18193356958,Connecting Pharma - Jardín Balbuena - Fray Servando Teresa de Mier,"Fray Servando Teresa de Mier, Jardín Balbuena, Venustiano Carranza, 15960 Ciudad de México, CDMX, México",19.4218779,-99.1198041,En Gestión [Automático],Lead,4.0,,
18192383571,La farmacia de Dios - Roma Sur - Tuxpan 109,"Tuxpan 109, Roma Sur, Cuauhtémoc, 06760 Cuauhtémoc, CDMX, México",19.4063062,-99.1673248,En Gestión [Automático],Lead,1.0,,
18192444518,Farmacia San Isidro Niños Héroes - Doctores - Av. Niños Héroes 196,"Av. Niños Héroes 196, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, México",19.4172784,-99.1505162,En Gestión [Automático],Lead,4.0,,
18192489387,Farmacia Buenavista S.A. de C.V. - Centro - Plaza de San Pablo 38,"Plaza de San Pablo 38, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, México",19.4260105,-99.1275136,En Gestión [Automático],Lead,10.0,,
18193334552,FARMACIA 2 DE OCTUBRE - Camp. 2 de Octubre - Av. Juan N. Álvarez # 85,"Av. Juan N. Álvarez # 85, Camp. 2 de Octubre, Iztacalco, 08930 Ciudad de México, CDMX, México",19.3860835,-99.1174062,En Gestión [Automático],Lead,5.0,,
18193336982,FARMACIA DE GENERICOS VANNE - El Rodeo - Calle 30,"Calle 30, Manzana 13, Lote 26 Local A, El Rodeo, Iztacalco, 08510 Ciudad de México, CDMX, México",19.3920832,-99.0859551,En Gestión [Automático],Lead,5.0,,
18193354037,Farmacia la perla - Juárez - Toledo 32-Local e,"Toledo 32-Local e, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, México",19.4227008,-99.1718013,En Gestión [Automático],Lead,26.0,Diaria,1.0
18192251065,FARMACIA MONSERRAT - Iztacalco - Esq. Antonio Gamboa,"Esq. Antonio Gamboa, Juan N. Álvarez ( Las Torres ), Campamento 2 de Octubre, Iztacalco, 08930 Ciudad de México, CDMX, México",19.3846815,-99.1131495,En Gestión [Automático],Lead,1.0,,
